role,id,season,end_n,end_rate,end_success
pitcher,20700,2020,665,0.618045,1
pitcher,20700,2021,958,0.586639,1
pitcher,20938,2020,637,0.546311,1
pitcher,21095,2020,262,0.69084,1
pitcher,21170,2022,19,0.473684,1
pitcher,21178,2020,164,0.72561,1
pitcher,21279,2020,584,0.547945,1
pitcher,21279,2021,801,0.555556,1
pitcher,21372,2020,1082,0.476895,1
pitcher,21372,2021,1432,0.473464,1
pitcher,21372,2022,1997,0.543315,1
pitcher,21372,2023,2737,0.521739,0
pitcher,21372,2024,3951,0.499367,0
pitcher,21372,2025,4454,0.493938,1
pitcher,21402,2020,935,0.602139,0
pitcher,21402,2021,1715,0.611662,1
pitcher,21402,2022,2525,0.599208,0
pitcher,21402,2023,3303,0.599455,0
pitcher,21402,2024,4036,0.599356,0
pitcher,21402,2025,4731,0.59163,1
pitcher,21414,2020,1052,0.598859,1
pitcher,21414,2021,1805,0.581163,0
pitcher,21414,2022,2362,0.57155,0
pitcher,21414,2023,2411,0.571132,1
pitcher,21415,2020,129,0.565891,1
pitcher,21415,2021,245,0.555102,1
pitcher,21432,2020,965,0.548187,1
pitcher,21432,2021,1948,0.536448,1
pitcher,21432,2022,2568,0.528816,1
pitcher,21432,2023,3366,0.537433,1
pitcher,21432,2024,3626,0.536955,1
pitcher,21432,2025,3740,0.536364,0
pitcher,21441,2021,2137,0.563875,0
pitcher,21441,2022,3186,0.562775,1
pitcher,21441,2023,4457,0.554184,1
pitcher,21441,2024,5853,0.540065,1
pitcher,21441,2025,7207,0.536284,1
pitcher,21549,2020,2339,0.661821,1
pitcher,21549,2021,2670,0.647191,1
pitcher,21558,2020,796,0.54397,0
pitcher,21558,2021,1088,0.551471,1
pitcher,21558,2022,1455,0.557388,1
pitcher,21571,2021,70,0.657143,1
pitcher,21587,2020,136,0.691176,0
pitcher,21587,2021,149,0.684564,1
pitcher,21588,2020,100,0.62,1
pitcher,21595,2020,367,0.46049,1
pitcher,21622,2020,59,0.491525,0
pitcher,21622,2021,408,0.556373,1
pitcher,21622,2022,908,0.578194,0
pitcher,21622,2023,1389,0.591073,1
pitcher,21622,2024,2118,0.558546,0
pitcher,21624,2020,23,0.478261,0
pitcher,21654,2020,330,0.584848,1
pitcher,21654,2021,1102,0.523593,1
pitcher,21654,2022,1360,0.540441,1
pitcher,21690,2020,731,0.554036,0
pitcher,21690,2021,1466,0.551842,1
pitcher,21690,2022,2155,0.5471,1
pitcher,21690,2023,3074,0.527001,1
pitcher,21690,2024,4179,0.549414,0
pitcher,21690,2025,5330,0.555535,0
pitcher,21699,2020,410,0.560976,0
pitcher,21699,2021,817,0.53366,1
pitcher,21699,2022,1007,0.516385,0
pitcher,21733,2020,321,0.551402,1
pitcher,21754,2020,1012,0.483202,1
pitcher,21754,2021,1142,0.500876,1
pitcher,21789,2020,1009,0.537166,1
pitcher,21789,2021,1915,0.52376,0
pitcher,21789,2022,2974,0.516812,0
pitcher,21789,2023,3222,0.519863,1
pitcher,21789,2024,4127,0.522413,1
pitcher,21789,2025,5313,0.521174,1
pitcher,21795,2020,2795,0.457603,1
pitcher,21795,2021,3954,0.469145,1
pitcher,21795,2022,4479,0.479795,1
pitcher,21795,2023,4511,0.480825,1
pitcher,21813,2020,1098,0.547359,1
pitcher,21813,2021,1653,0.54144,1
pitcher,21813,2022,2099,0.527394,1
pitcher,21813,2024,2399,0.522718,1
pitcher,21813,2025,3084,0.505837,0
pitcher,21830,2020,498,0.654618,1
pitcher,21830,2021,992,0.634073,1
pitcher,21840,2020,379,0.543536,1
pitcher,21840,2021,1334,0.52099,1
pitcher,21840,2022,1601,0.525297,1
pitcher,21857,2020,21,0.761905,1
pitcher,21874,2020,634,0.675079,1
pitcher,21874,2021,1215,0.640329,1
pitcher,21875,2020,80,0.45,0
pitcher,21875,2021,863,0.544612,1
pitcher,21875,2022,1226,0.541599,0
pitcher,21875,2023,1386,0.530303,0
pitcher,21916,2020,2542,0.577105,1
pitcher,21916,2021,3589,0.571747,0
pitcher,21916,2022,6135,0.570986,0
