name,id,season,end_n,end_rate
pitcher_reverse,20700,2020,665,0.160902
pitcher_reverse,20700,2021,958,0.187891
pitcher_reverse,20938,2020,637,0.196232
pitcher_reverse,21095,2020,262,0.0534351
pitcher_reverse,21170,2022,19,0.210526
pitcher_reverse,21178,2020,164,0.103659
pitcher_reverse,21279,2020,584,0.172945
pitcher_reverse,21279,2021,801,0.158552
pitcher_reverse,21372,2020,1082,0.218115
pitcher_reverse,21372,2021,1432,0.232542
pitcher_reverse,21372,2022,1997,0.181272
pitcher_reverse,21372,2023,2737,0.214834
pitcher_reverse,21372,2024,3951,0.234624
pitcher_reverse,21372,2025,4454,0.236192
pitcher_reverse,21402,2020,935,0.204278
pitcher_reverse,21402,2021,1715,0.201749
pitcher_reverse,21402,2022,2525,0.217822
pitcher_reverse,21402,2023,3303,0.217984
pitcher_reverse,21402,2024,4036,0.217294
pitcher_reverse,21402,2025,4731,0.217924
pitcher_reverse,21414,2020,1052,0.16635
pitcher_reverse,21414,2021,1805,0.183934
pitcher_reverse,21414,2022,2362,0.202371
pitcher_reverse,21414,2023,2411,0.20282
pitcher_reverse,21415,2020,129,0.20155
pitcher_reverse,21415,2021,245,0.212245
pitcher_reverse,21432,2020,965,0.126425
pitcher_reverse,21432,2021,1948,0.13655
pitcher_reverse,21432,2022,2568,0.154984
pitcher_reverse,21432,2023,3366,0.150327
pitcher_reverse,21432,2024,3626,0.151682
pitcher_reverse,21432,2025,3740,0.152139
pitcher_reverse,21441,2021,2137,0.18671
pitcher_reverse,21441,2022,3186,0.204331
pitcher_reverse,21441,2023,4457,0.208885
pitcher_reverse,21441,2024,5853,0.210661
pitcher_reverse,21441,2025,7207,0.206882
pitcher_reverse,21549,2020,2339,0.0867892
pitcher_reverse,21549,2021,2670,0.0910112
pitcher_reverse,21558,2020,796,0.21608
pitcher_reverse,21558,2021,1088,0.231618
pitcher_reverse,21558,2022,1455,0.230241
pitcher_reverse,21571,2021,70,0.114286
pitcher_reverse,21587,2020,136,0.132353
pitcher_reverse,21587,2021,149,0.127517
pitcher_reverse,21588,2020,100,0.17
pitcher_reverse,21595,2020,367,0.313351
pitcher_reverse,21622,2020,59,0.20339
pitcher_reverse,21622,2021,408,0.115196
pitcher_reverse,21622,2022,908,0.153084
pitcher_reverse,21622,2023,1389,0.151908
pitcher_reverse,21622,2024,2118,0.183192
