pitcher_id,pitcher_trackman_id,confidence,n_pitch
23557,68240,1.0,1570
22890,65320,1.0,7338
21875,76329,1.0,850
22389,62363,1.0,5262
21654,75342,1.0,813
22427,62242,1.0,1952
22598,62951,1.0,1796
21789,76430,1.0,2796
22397,62360,1.0,3390
23090,73248,1.0,587
23238,67266,1.0,2274
23673,69550,1.0,865
23717,69435,1.0,922
22154,79545,1.0,1417
23512,65496,1.0,1391
23719,69446,1.0,7871
22668,64565,1.0,2903
22318,61365,0.9897743300423131,2836
22180,79293,1.0,654
23758,621245,1.0,1434
22277,61101,1.0,6820
23637,69159,1.0,2978
22675,64893,1.0,1789
22099,79130,1.0,288
22547,76650,1.0,2419
22253,60140,1.0,1621
21733,75250,1.0,233
21998,78148,1.0,3970
21936,77318,1.0,4471
23030,66451,1.0,836
23455,68556,1.0,1025
22254,60146,1.0,2780
23363,67421,1.0,2112
22131,79229,1.0,3189
23307,67603,1.0,3532
21558,74359,1.0,962
22525,63248,1.0,2301
23312,67828,1.0,1525
22192,60841,1.0,5747
22469,63145,1.0,3224
22717,65343,1.0,1653
23225,67119,1.0,2427
23759,69813,1.0,945
22278,61145,1.0,3884
22118,79847,1.0,2053
22735,61895,1.0,3175
22123,79825,1.0,719
23590,68900,1.0,3819
23478,68043,1.0,2879
23047,64995,1.0,1385
22143,79358,1.0,1268
22741,65060,1.0,2678
22592,76118,1.0,2143
22795,67122,1.0,695
22234,60845,1.0,554
23288,67391,1.0,2501
23643,69111,1.0,888
23284,67365,1.0,710
22368,62146,1.0,1839
23748,69399,1.0,901
23636,69158,1.0,629
23289,64051,1.0,996
23631,63991,1.0,1816
22908,65516,1.0,6440
23786,69041,1.0,1897
21690,75867,1.0,2946
22730,65056,1.0,5557
22624,63950,1.0,2224
22776,65042,1.0,264
22435,62869,1.0,5337
21795,76455,1.0,2011
23411,502010,1.0,3290
21955,77829,1.0,6079
22596,62937,1.0,704
23782,571035,1.0,7259
21961,77637,1.0,4058
22734,65058,1.0,747
23614,65643,1.0,1427
23306,65616,1.0,2737
22743,65062,1.0,3040
23423,68157,1.0,231
23385,67045,1.0,420
22978,74167,1.0,253
23638,69168,1.0,2463
23429,68109,1.0,882
23644,69113,1.0,1834
23024,66493,1.0,139
23422,68135,1.0,2620
22703,548384,1.0,1553
22911,75321,1.0,469
23694,599683,1.0,3168
23766,69934,1.0,706
22321,61329,1.0,220
23414,67703,1.0,2182
22782,65769,1.0,4116
23713,69413,1.0,1371
23415,458676,1.0,1890
22311,61457,1.0,783
22772,77927,1.0,2392
21402,73117,1.0,2417
21432,73801,1.0,1847
22231,60768,1.0,3849
23745,518852,1.0,7395
23534,68815,1.0,1847
23536,64805,1.0,1874
22508,63342,1.0,1780
23475,68036,1.0,762
23421,68130,1.0,2175
23258,67956,1.0,622
23426,65117,1.0,1570
21916,77446,1.0,5983
21940,77211,1.0,3481
23633,543391,1.0,8813
22419,62528,1.0,3882
23672,69539,1.0,3020
22094,79140,1.0,2607
23684,69516,1.0,644
21595,74630,1.0,270
21372,72523,1.0,2547
22335,61214,1.0,544
23617,68249,1.0,1786
21754,75258,1.0,780
23696,518445,1.0,2465
22163,79764,1.0,3702
22708,65764,1.0,5361
22249,60263,1.0,6078
23627,62611,0.9798099762470309,1684
22996,74857,1.0,2049
22738,63543,1.0,2871
22007,78819,1.0,280
23112,64768,1.0,2536
23206,66920,1.0,2681
23654,69646,1.0,471
23665,65665,1.0,1284
23653,69645,1.0,429
23556,61962,1.0,233
22220,60634,1.0,137
23440,68341,1.0,4506
20938,70425,1.0,388
22201,60339,1.0,1409
21840,76757,1.0,1131
22487,63111,1.0,785
22478,63103,1.0,1050
23554,63292,1.0,1090
23727,68207,1.0,116
21813,76225,1.0,1457
23655,69656,1.0,1093
23496,63628,1.0,800
22540,63765,1.0,1874
23122,64759,1.0,279
23568,68703,1.0,954
23231,67116,1.0,1935
23714,64769,1.0,131
23005,66492,1.0,648
21622,74513,1.0,1321
22834,66291,1.0,5385
22491,75340,1.0,1245
21414,73738,1.0,1353
23384,67066,1.0,137
22302,60337,1.0,1817
23787,69054,1.0,990
23518,68419,1.0,5017
23650,69620,1.0,1051
23651,545363,1.0,1124
22761,65639,1.0,2119
22851,76350,1.0,528
23697,69762,1.0,1270
23516,68406,1.0,151
21874,76355,1.0,834
23362,67443,1.0,728
23369,67419,1.0,935
22233,60757,1.0,112
22015,78247,1.0,870
23767,69940,1.0,7570
23772,69974,1.0,899
23110,62056,1.0,731
23294,67640,1.0,213
22309,61456,1.0,528
23561,67263,1.0,6954
23501,68639,1.0,1222
23190,63492,1.0,1271
23515,68403,1.0,1606
23361,67467,1.0,338
20700,99445,1.0,546
22404,62655,1.0,759
23332,67762,1.0,396
22666,64760,1.0,747
22541,63749,1.0,670
23781,593417,1.0,4955
23783,69047,1.0,136
23630,66609,1.0,1400
23150,63104,1.0,151
22505,63348,1.0,618
21549,74454,1.0,1378
23784,534648,1.0,1370
23689,64554,1.0,484
22293,61643,1.0,3042
22820,66145,1.0,1975
21978,77591,1.0,428
21994,60559,1.0,1584
22925,64718,1.0,1058
23589,68928,0.9931479242241031,2481
23779,69996,1.0,208
22110,79617,1.0,482
23771,69969,1.0,617
23695,69745,1.0,1831
22905,63512,1.0,779
21279,72447,1.0,500
22640,64155,1.0,323
23054,65964,1.0,339
22729,65048,0.993006993006993,3861
23204,573348,1.0,489
21095,71118,1.0,162
23676,69594,1.0,516
23035,65933,1.0,3727
22597,62929,1.0,164
22810,62918,1.0,286
23293,67646,1.0,590
23342,67591,1.0,248
22933,66660,1.0,298
23139,66801,1.0,112
22312,61411,1.0,1134
23596,63936,1.0,155
23260,67962,1.0,517
23500,68659,1.0,474
23498,64615,1.0,436
21699,75138,1.0,522
23747,69328,1.0,637
23593,68902,1.0,5793
23151,66064,1.0,288
22742,65067,1.0,137
23462,68501,1.0,905
23383,67048,1.0,535
23302,67604,1.0,176
23751,69367,1.0,1002
22621,63960,1.0,1169
23532,68830,1.0,264
23737,69205,1.0,832
23053,65064,1.0,263
22922,64047,1.0,918
23439,61268,1.0,2185
22759,64021,1.0,7147
23314,67863,1.0,424
23761,69839,1.0,1278
22869,61396,1.0,204
21415,73750,1.0,175
23632,63638,1.0,1071
22380,62754,1.0,3133
21830,76858,1.0,543
22926,66557,1.0,367
23690,63791,1.0,119
23597,63961,1.0,1603
22539,63730,1.0,141
23428,68107,1.0,151
23437,66018,0.9844033369604642,2757
22575,63464,1.0,2889
23094,66859,1.0,730
23424,68159,1.0,1180
22028,78352,1.0,1962
22458,464400,1.0,584
22964,66741,1.0,576
23843,543184,1.0,736
22595,62920,1.0,894
23849,594902,1.0,1838
21991,78517,1.0,1156
23082,77563,1.0,131
23157,66047,1.0,353
23790,69068,1.0,575
22136,79440,1.0,639
23628,61295,1.0,926
23334,67737,1.0,909
