global_player_mapping_key,role,train_player_id,current_trackman_player_id,global_player_mapping_status,global_player_mapping_status_ko,global_representative_trackman_player_id,global_exact_candidates,global_exact_candidate_count,global_reverse_train_player_count,global_exact_top_rows,global_exact_top_games,global_exact_total_rows,global_exact_total_games,global_exact_purity,global_exact_strict_contexts,final_linked_role_observations,final_linked_games,final_confirmed_id_matches,final_confirmed_id_mismatches,train_role_observations,train_games,train_strict_contexts
1,batter,20889,71184,confirmed_global_exact,역할별 전역 exact 양방향 확정,71184,71184:434rows/56games,1,1,434,56,434,56,1.0,5,758,105,758,0,901,127,5
2,batter,20946,70410,confirmed_global_exact,역할별 전역 exact 양방향 확정,70410,70410:373rows/32games,1,1,373,32,373,32,1.0,2,631,52,631,0,1285,107,2
3,batter,20984,70756,confirmed_global_exact,역할별 전역 exact 양방향 확정,70756,70756:39rows/7games,1,1,39,7,39,7,1.0,1,69,11,69,0,100,19,1
4,batter,21131,71432,confirmed_global_exact,역할별 전역 exact 양방향 확정,71432,71432:153rows/16games,1,1,153,16,153,16,1.0,1,294,27,294,0,341,30,1
5,batter,21143,71752,confirmed_global_exact,역할별 전역 exact 양방향 확정,71752,71752:1824rows/122games,1,1,1824,122,1824,122,1.0,2,2674,175,2674,0,2982,194,2
6,batter,21170,71837,confirmed_global_exact,역할별 전역 exact 양방향 확정,71837,71837:3202rows/274games,1,1,3202,274,3202,274,1.0,7,5444,469,5444,0,5882,509,7
7,batter,21174,71842,confirmed_global_exact,역할별 전역 exact 양방향 확정,71842,71842:311rows/37games,1,1,311,37,311,37,1.0,5,517,59,517,0,599,67,6
8,batter,21241,72133,confirmed_global_exact,역할별 전역 exact 양방향 확정,72133,72133:1090rows/104games,1,1,1090,104,1090,104,1.0,3,1539,151,1539,0,1697,165,4
9,batter,21278,,conflict_reverse_multiple_train_ids,Trackman ID가 복수 Train 선수로 역매핑,64793,64793:408rows/52games,1,2,408,52,408,52,1.0,8,621,78,0,0,660,82,10
10,batter,21286,72443,confirmed_global_exact,역할별 전역 exact 양방향 확정,72443,72443:4303rows/246games,1,1,4303,246,4303,246,1.0,6,6297,358,6295,2,12789,748,6
11,batter,21288,72456,confirmed_global_exact,역할별 전역 exact 양방향 확정,72456,72456:63rows/8games,1,1,63,8,63,8,1.0,1,102,14,101,1,122,17,1
12,batter,21381,72546,confirmed_global_exact,역할별 전역 exact 양방향 확정,72546,72546:134rows/16games,1,1,134,16,134,16,1.0,1,180,25,180,0,268,31,1
13,batter,21398,73113,confirmed_global_exact,역할별 전역 exact 양방향 확정,73113,73113:3871rows/305games,1,1,3871,305,3871,305,1.0,6,6255,501,6253,2,6670,535,6
14,batter,21400,73136,confirmed_global_exact,역할별 전역 exact 양방향 확정,73136,73136:2123rows/159games,1,1,2123,159,2123,159,1.0,4,3044,231,3043,1,3321,254,4
15,batter,21401,73153,confirmed_global_exact,역할별 전역 exact 양방향 확정,73153,73153:38rows/9games,1,1,38,9,38,9,1.0,2,88,18,88,0,115,20,2
16,batter,21448,73209,confirmed_global_exact,역할별 전역 exact 양방향 확정,73209,73209:854rows/75games,1,1,854,75,854,75,1.0,3,1366,120,1366,0,1942,165,4
17,batter,21458,73342,confirmed_global_exact,역할별 전역 exact 양방향 확정,73342,73342:169rows/12games,1,1,169,12,169,12,1.0,1,230,18,230,0,260,20,1
18,batter,21461,73306,confirmed_global_exact,역할별 전역 exact 양방향 확정,73306,73306:854rows/85games,1,1,854,85,854,85,1.0,5,1269,129,1268,1,1417,141,6
19,batter,21511,73213,confirmed_global_exact,역할별 전역 exact 양방향 확정,73213,73213:327rows/32games,1,1,327,32,327,32,1.0,1,513,51,511,2,548,55,1
20,batter,21520,74163,confirmed_global_exact,역할별 전역 exact 양방향 확정,74163,74163:4235rows/255games,1,1,4235,255,4235,255,1.0,5,7067,429,7066,1,7459,449,6
21,batter,21577,74846,confirmed_global_exact,역할별 전역 exact 양방향 확정,74846,74846:37rows/8games,1,1,37,8,37,8,1.0,1,112,16,112,0,143,18,1
22,batter,21600,74729,confirmed_global_exact,역할별 전역 exact 양방향 확정,74729,74729:992rows/87games,1,1,992,87,992,87,1.0,4,1558,131,1558,0,1629,138,4
23,batter,21616,74206,confirmed_global_exact,역할별 전역 exact 양방향 확정,74206,74206:4253rows/326games,1,1,4253,326,4253,326,1.0,7,6877,513,6873,4,7472,556,8
24,batter,21617,74215,confirmed_global_exact,역할별 전역 exact 양방향 확정,74215,74215:565rows/54games,1,1,565,54,565,54,1.0,3,935,97,935,0,965,99,3
25,batter,21627,74540,confirmed_global_exact,역할별 전역 exact 양방향 확정,74540,74540:5343rows/411games,1,1,5343,411,5343,411,1.0,6,8823,672,8823,0,9708,731,6
26,batter,21660,,conflict_reverse_multiple_train_ids,Trackman ID가 복수 Train 선수로 역매핑,75334,75334:5986rows/397games,1,2,5986,397,5986,397,1.0,9,10011,662,0,0,10904,722,9
27,batter,21693,,conflict_reverse_multiple_train_ids,Trackman ID가 복수 Train 선수로 역매핑,75808,75808:1032rows/93games,1,2,1032,93,1032,93,1.0,2,1512,139,0,0,1715,158,2
28,batter,21696,75847,confirmed_global_exact,역할별 전역 exact 양방향 확정,75847,75847:7266rows/436games,1,1,7266,436,7266,436,1.0,6,11954,728,11953,1,12999,786,6
29,batter,21708,75151,confirmed_global_exact,역할별 전역 exact 양방향 확정,75151,75151:1885rows/153games,1,1,1885,153,1885,153,1.0,4,2931,243,2930,1,3034,251,4
30,batter,21737,75566,confirmed_global_exact,역할별 전역 exact 양방향 확정,75566,75566:4983rows/336games,1,1,4983,336,4983,336,1.0,9,7850,528,7837,13,8749,579,9
31,batter,21786,76158,confirmed_global_exact,역할별 전역 exact 양방향 확정,76158,76158:59rows/7games,1,1,59,7,59,7,1.0,2,136,14,136,0,197,20,3
32,batter,21818,76232,confirmed_global_exact,역할별 전역 exact 양방향 확정,76232,76232:6617rows/441games,1,1,6617,441,6617,441,1.0,6,10454,706,10454,0,11303,762,6
33,batter,21821,76267,confirmed_global_exact,역할별 전역 exact 양방향 확정,76267,76267:6213rows/388games,1,1,6213,388,6213,388,1.0,6,10636,653,10627,9,11487,703,7
34,batter,21822,76249,confirmed_global_exact,역할별 전역 exact 양방향 확정,76249,76249:1761rows/124games,1,1,1761,124,1761,124,1.0,3,2652,192,2649,3,2945,212,4
35,batter,21831,76812,confirmed_global_exact,역할별 전역 exact 양방향 확정,76812,76812:2976rows/267games,1,1,2976,267,2976,267,1.0,7,5062,462,5056,6,5577,504,8
36,batter,21834,76802,confirmed_global_exact,역할별 전역 exact 양방향 확정,76802,76802:3920rows/350games,1,1,3920,350,3920,350,1.0,6,6621,581,6617,4,7132,627,7
37,batter,21835,76869,confirmed_global_exact,역할별 전역 exact 양방향 확정,76869,76869:136rows/16games,1,1,136,16,136,16,1.0,2,249,27,244,5,312,34,3
38,batter,21837,,conflict_multiple_trackman_ids,한 Train 선수에 복수 Trackman ID,76849,76849:3630rows/245games;68743:2rows/1games,2,1,3630,245,3632,246,0.9994493392070485,9,5784,385,0,0,6835,449,9
39,batter,21848,76720,confirmed_global_exact,역할별 전역 exact 양방향 확정,76720,76720:167rows/19games,1,1,167,19,167,19,1.0,5,320,40,320,0,333,42,7
40,batter,21851,76753,confirmed_global_exact,역할별 전역 exact 양방향 확정,76753,76753:1654rows/131games,1,1,1654,131,1654,131,1.0,3,2392,193,2390,2,2714,217,3
41,batter,21865,76509,confirmed_global_exact,역할별 전역 exact 양방향 확정,76509,76509:436rows/51games,1,1,436,51,436,51,1.0,3,576,65,576,0,643,70,3
42,batter,21892,76100,confirmed_global_exact,역할별 전역 exact 양방향 확정,76100,76100:592rows/49games,1,1,592,49,592,49,1.0,5,1107,92,1107,0,1172,98,5
