player_mapping_key,role,season,game_type,train_team_id,train_player_id,trackman_team_name,current_trackman_player_id,player_mapping_status,player_mapping_status_ko,mapping_basis,team_mapping_status,strict_representative_trackman_player_id,strict_exact_candidates,strict_exact_candidate_count,strict_reverse_train_player_count,strict_exact_top_rows,strict_exact_top_games,strict_exact_total_rows,strict_exact_total_games,strict_exact_purity,global_representative_trackman_player_id,global_exact_candidates,global_exact_candidate_count,global_reverse_train_player_count,global_exact_top_rows,global_exact_top_games,global_exact_total_rows,global_exact_total_games,global_exact_purity,global_exact_strict_contexts,final_observed_trackman_player_candidates,final_linked_role_observations,final_linked_games,final_confirmed_id_matches,final_confirmed_id_mismatches,train_role_observations,train_games
1,batter,2019,F,12,21947,MIN_DOO,77248,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,77248,MIN_DOO/77248:25rows/1games,1,1,25,1,25,1,1.0,77248,77248:1009rows/100games,1,1,1009,100,1009,100,1.0,6,77248:25rows/1games,25,1,25,0,25,1
2,batter,2019,F,12,22284,MIN_DOO,61104,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,61104,61104:15rows/3games,1,1,15,3,15,3,1.0,1,61104:4rows/1games,4,1,4,0,4,1
3,batter,2019,F,12,22345,MIN_DOO,61208,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,61208,61208:1310rows/114games,1,1,1310,114,1310,114,1.0,3,61208:15rows/1games,15,1,15,0,15,1
4,batter,2019,F,12,22514,MIN_DOO,79290,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,79290,MIN_DOO/79290:16rows/1games,1,1,16,1,16,1,1.0,79290,79290:365rows/42games,1,1,365,42,365,42,1.0,6,79290:28rows/2games,28,2,28,0,53,4
5,batter,2019,F,12,22521,MIN_DOO,63202,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,63202,63202:1286rows/147games,1,1,1286,147,1286,147,1.0,7,63202:4rows/1games,4,1,4,0,4,1
6,batter,2019,F,12,22522,MIN_DOO,63257,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,63257,MIN_DOO/63257:33rows/2games,1,1,33,2,33,2,1.0,63257,63257:2228rows/203games,1,1,2228,203,2228,203,1.0,8,63257:46rows/4games,46,4,46,0,71,6
7,batter,2019,F,12,22748,MIN_DOO,64086,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,64086,64086:433rows/44games,1,1,433,44,433,44,1.0,8,64086:42rows/2games,42,2,42,0,68,4
8,batter,2019,F,12,22822,MIN_DOO,64260,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,64260,MIN_DOO/64260:24rows/3games,1,1,24,3,24,3,1.0,64260,64260:358rows/45games,1,1,358,45,358,45,1.0,5,64260:63rows/6games,63,6,63,0,63,6
9,batter,2019,F,12,22830,MIN_DOO,66203,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,66203,66203:295rows/47games,1,1,295,47,295,47,1.0,8,,0,0,0,0,6,1
10,batter,2019,F,12,22841,MIN_DOO,64213,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,64213,MIN_DOO/64213:6rows/2games,1,1,6,2,6,2,1.0,64213,64213:348rows/52games,1,1,348,52,348,52,1.0,6,64213:40rows/5games,40,5,40,0,63,7
11,batter,2019,F,12,23186,MIN_DOO,66233,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,66233,MIN_DOO/66233:45rows/3games,1,1,45,3,45,3,1.0,66233,66233:262rows/33games,1,1,262,33,262,33,1.0,6,66233:80rows/5games;79290:2rows/1games,82,5,80,2,95,7
12,batter,2019,F,12,23241,MIN_DOO,67202,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,67202,MIN_DOO/67202:34rows/3games,1,1,34,3,34,3,1.0,67202,67202:144rows/18games,1,1,144,18,144,18,1.0,6,67202:54rows/6games,54,6,54,0,71,8
13,batter,2019,F,12,23242,MIN_DOO,67265,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,67265,MIN_DOO/67265:11rows/1games,1,1,11,1,11,1,1.0,67265,67265:110rows/8games,1,1,110,8,110,8,1.0,3,67265:52rows/5games;68204:5rows/1games,57,5,52,5,62,7
14,batter,2019,F,12,23243,MIN_DOO,67207,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,67207,MIN_DOO/67207:45rows/3games,1,1,45,3,45,3,1.0,67207,67207:1679rows/143games,1,1,1679,143,1679,143,1.0,7,67207:99rows/6games,99,6,99,0,107,7
15,batter,2019,F,12,23250,MIN_DOO,67206,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,67206,MIN_DOO/67206:2rows/1games,1,1,2,1,2,1,1.0,67206,67206:2rows/1games,1,1,2,1,2,1,1.0,1,67206:2rows/1games,2,1,2,0,2,1
16,batter,2019,F,12,23252,MIN_DOO,67209,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,67209,MIN_DOO/67209:4rows/1games,1,1,4,1,4,1,1.0,67209,67209:10rows/3games,1,1,10,3,10,3,1.0,2,67209:4rows/1games,4,1,4,0,4,1
17,batter,2019,F,12,23253,MIN_DOO,64209,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,64209,64209:115rows/16games,1,1,115,16,115,16,1.0,2,64209:19rows/2games,19,2,19,0,19,2
18,batter,2019,F,12,23552,MIN_DOO,68205,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68205,MIN_DOO/68205:20rows/2games,1,1,20,2,20,2,1.0,68205,68205:781rows/78games,1,1,781,78,781,78,1.0,9,68205:37rows/5games,37,5,37,0,79,7
19,batter,2019,F,12,23562,MIN_DOO,63559,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,63559,63559:255rows/33games,1,1,255,33,255,33,1.0,4,63559:17rows/1games,17,1,17,0,17,1
20,batter,2019,F,12,23563,MIN_DOO,,unanchored_no_exact_evidence,exact 선수 매핑 근거 없음,,confirmed_exact,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,67201:10rows/1games,10,1,0,0,10,1
21,batter,2019,F,12,23626,MIN_DOO,63440,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,63440,63440:718rows/82games,1,1,718,82,718,82,1.0,7,63440:11rows/1games,11,1,11,0,11,1
22,batter,2019,F,12,23728,MIN_DOO,68211,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68211,MIN_DOO/68211:9rows/1games,1,1,9,1,9,1,1.0,68211,68211:44rows/4games,1,1,44,4,44,4,1.0,3,68211:9rows/1games,9,1,9,0,9,1
23,batter,2019,F,12,23733,MIN_DOO,69203,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,69203,MIN_DOO/69203:42rows/2games,1,1,42,2,42,2,1.0,69203,69203:396rows/37games,1,1,396,37,396,37,1.0,7,69203:72rows/5games,72,5,72,0,94,7
24,batter,2019,F,12,23734,MIN_DOO,68204,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68204,MIN_DOO/68204:33rows/3games,1,1,33,3,33,3,1.0,68204,68204:340rows/45games,1,1,340,45,340,45,1.0,9,68204:65rows/6games,65,6,65,0,82,8
25,batter,2019,F,12,23735,MIN_DOO,69238,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,69238,MIN_DOO/69238:25rows/2games,1,1,25,2,25,2,1.0,69238,69238:863rows/92games,1,1,863,92,863,92,1.0,7,69238:59rows/4games,59,4,59,0,90,6
26,batter,2019,F,12,23739,MIN_DOO,69207,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,69207,69207:379rows/36games,1,1,379,36,379,36,1.0,6,69207:2rows/1games,2,1,2,0,15,3
27,batter,2019,F,12,23742,MIN_DOO,69210,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,69210,MIN_DOO/69210:20rows/3games,1,1,20,3,20,3,1.0,69210,69210:91rows/9games,1,1,91,9,91,9,1.0,3,69210:38rows/6games,38,6,38,0,52,7
28,batter,2019,F,13,20889,MIN_LGT,71184,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,71184,MIN_LGT/71184:6rows/1games,1,1,6,1,6,1,1.0,71184,71184:434rows/56games,1,1,434,56,434,56,1.0,5,71184:17rows/3games,17,3,17,0,40,7
29,batter,2019,F,13,21174,MIN_LGT,71842,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,71842,MIN_LGT/71842:50rows/4games,1,1,50,4,50,4,1.0,71842,71842:311rows/37games,1,1,311,37,311,37,1.0,5,71842:105rows/9games,105,9,105,0,153,14
30,batter,2019,F,13,21241,MIN_LGT,72133,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,72133,72133:1090rows/104games,1,1,1090,104,1090,104,1.0,3,,0,0,0,0,25,2
31,batter,2019,F,13,21968,MIN_LGT,77564,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,77564,MIN_LGT/77564:17rows/2games,1,1,17,2,17,2,1.0,77564,77564:4258rows/320games,1,1,4258,320,4258,320,1.0,10,77564:52rows/5games,52,5,52,0,136,11
32,batter,2019,F,13,21996,MIN_LGT,78135,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,78135,MIN_LGT/78135:31rows/2games,1,1,31,2,31,2,1.0,78135,78135:4163rows/296games,1,1,4163,296,4163,296,1.0,11,78135:31rows/2games,31,2,31,0,31,2
33,batter,2019,F,13,22102,MIN_LGT,79192,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,79192,79192:7204rows/465games,1,1,7204,465,7204,465,1.0,8,,0,0,0,0,27,2
34,batter,2019,F,13,22106,MIN_LGT,79150,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,79150,MIN_LGT/79150:72rows/4games,1,1,72,4,72,4,1.0,79150,79150:2802rows/253games,1,1,2802,253,2802,253,1.0,7,79150:144rows/9games,144,9,144,0,155,10
35,batter,2019,F,13,22281,MIN_LGT,61114,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,61114,MIN_LGT/61114:210rows/19games,1,1,210,19,210,19,1.0,61114,61114:216rows/20games,1,1,216,20,216,20,1.0,2,61114:500rows/38games,500,38,500,0,838,63
36,batter,2019,F,13,22283,MIN_LGT,61102,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,61102,61102:5515rows/426games,1,1,5515,426,5515,426,1.0,7,61102:17rows/2games,17,2,17,0,17,2
