team_mapping_key,season,game_type,train_team_id,train_role_observations,train_games,train_batter_observations,train_pitcher_observations,trackman_team_name,final_forward_team_name_count,final_linked_role_observations,final_linked_games,exact_forward_team_name_count,exact_role_observations,exact_games,final_reverse_train_team_count,team_mapping_status,team_mapping_status_ko,mapping_basis,is_final_bidirectional_unique
1,2019,F,12,2485,9,1191,1294,MIN_DOO,1,1890,7,1,816,3,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
2,2019,F,13,25786,90,13038,12748,MIN_LGT,1,15672,56,1,8386,30,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
3,2019,F,14,4088,14,2058,2030,MIN_HER,1,1999,7,1,272,1,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
4,2019,F,15,1586,6,819,767,MIN_LOT,1,1292,5,1,802,3,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
5,2019,F,16,1785,6,859,926,MIN_KIA,1,884,3,1,558,2,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
6,2019,F,17,4148,14,2065,2083,MIN_HAN,1,3140,11,1,1414,5,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
7,2019,F,18,1605,6,771,834,MIN_SAM,1,1595,6,1,1049,4,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
8,2019,F,19,1716,6,767,949,MIN_NCD,1,1716,6,1,1716,6,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
9,2019,F,20,1665,6,831,834,MIN_KTW,1,564,2,1,564,2,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
10,2019,F,21,3638,13,1801,1837,MIN_SKW,1,1684,6,1,834,3,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
11,2019,F,22,1449,5,773,676,KBO_POL,1,272,1,0,0,0,1,consistent_final_only,최종 연결에서만 일대일·exact 근거 없음,final_linked_rows_consistency,True
12,2019,F,23,1621,5,813,808,KBO_ARM,1,636,2,1,361,1,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
13,2019,R,12,41797,144,21167,20630,DOO_BEA,1,38454,133,1,23521,82,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
14,2019,R,13,42016,144,21047,20969,LG_TWI,1,38171,131,1,26149,92,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
15,2019,R,14,41649,144,21489,20160,KIW_HER,1,36479,127,1,25405,88,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
16,2019,R,15,42805,144,20859,21946,LOT_GIA,1,38667,130,1,23638,80,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
17,2019,R,16,42385,144,21032,21353,KIA_TIG,1,21094,72,1,13634,47,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
18,2019,R,17,42722,144,20874,21848,HAN_EAG,1,37124,126,1,24900,85,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
19,2019,R,18,43236,144,21515,21721,SAM_LIO,1,38744,129,1,25601,87,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
20,2019,R,19,42601,144,21194,21407,NC_DIN,1,39286,133,1,24812,83,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
21,2019,R,20,41968,144,21306,20662,KT_WIZ,1,39116,135,1,23363,82,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
22,2019,R,21,42075,144,21144,20931,SK_WYV,1,39709,136,1,24641,86,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
23,2020,F,12,4893,16,2418,2475,MIN_DOO,1,4311,15,1,1193,4,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
24,2020,F,13,23213,76,12031,11182,MIN_LGT,1,17156,58,1,5501,18,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
25,2020,F,14,5670,18,2730,2940,MIN_HER,1,2298,7,1,602,2,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
26,2020,F,15,610,2,318,292,MIN_LOT,1,569,2,0,0,0,1,consistent_final_only,최종 연결에서만 일대일·exact 근거 없음,final_linked_rows_consistency,True
27,2020,F,17,4819,16,2279,2540,MIN_HAN,1,4662,16,1,2446,8,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
28,2020,F,18,801,3,424,377,MIN_SAM,1,791,3,0,0,0,1,consistent_final_only,최종 연결에서만 일대일·exact 근거 없음,final_linked_rows_consistency,True
29,2020,F,19,919,3,413,506,MIN_NCD,1,909,3,0,0,0,1,consistent_final_only,최종 연결에서만 일대일·exact 근거 없음,final_linked_rows_consistency,True
30,2020,F,20,940,3,469,471,MIN_KTW,1,918,3,0,0,0,1,consistent_final_only,최종 연결에서만 일대일·exact 근거 없음,final_linked_rows_consistency,True
31,2020,F,21,4561,15,2131,2430,MIN_SKW,1,2698,9,1,1260,4,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
32,2020,R,12,44484,144,22076,22408,DOO_BEA,1,41229,134,1,23367,76,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
33,2020,R,13,43853,144,22128,21725,LG_TWI,1,40482,134,1,25024,84,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
34,2020,R,14,43769,144,22420,21349,KIW_HER,1,41206,136,1,25403,84,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
35,2020,R,15,43320,144,21800,21520,LOT_GIA,1,40630,135,1,25529,85,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
36,2020,R,16,44426,144,22292,22134,KIA_TIG,1,21896,72,1,16926,56,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
37,2020,R,17,44313,144,21431,22882,HAN_EAG,1,41414,135,1,28562,93,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
38,2020,R,18,44277,144,22008,22269,SAM_LIO,1,41424,136,1,27992,92,1,confirmed_exact,exact 경기에서 확정,exact_full10_sequence,True
